category,run_name,model,model_display,model_name,window,sfreq,shuffle_labels,n_subjects_requested,ablation_seed,n_selected_subjects,n_selected_subjects_config,n_all_unique_subjects,n_unique_subjects,n_folds,X_train_val_shape,train_val_path,checkpoint_dir,run_dir
subject_ablation,cnn_0800_250hz_nsubj12_seed004,cnn,CNN-v1,cnn,0800,250,False,12.0,4.0,12.0,12.0,18.0,12,5.0,"(19541, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed004
subject_ablation,cnn_0800_250hz_nsubj12_seed005,cnn,CNN-v1,cnn,0800,250,False,12.0,5.0,12.0,12.0,18.0,12,5.0,"(18634, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed005
subject_ablation,cnn_0800_250hz_nsubj14_seed001,cnn,CNN-v1,cnn,0800,250,False,14.0,1.0,14.0,14.0,18.0,14,5.0,"(21796, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed001
subject_ablation,cnn_0800_250hz_nsubj14_seed002,cnn,CNN-v1,cnn,0800,250,False,14.0,2.0,14.0,14.0,18.0,14,5.0,"(22014, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed002
subject_ablation,cnn_0800_250hz_nsubj14_seed003,cnn,CNN-v1,cnn,0800,250,False,14.0,3.0,14.0,14.0,18.0,14,5.0,"(21922, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed003
subject_ablation,cnn_0800_250hz_nsubj14_seed004,cnn,CNN-v1,cnn,0800,250,False,14.0,4.0,14.0,14.0,18.0,14,5.0,"(21578, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed004
subject_ablation,cnn_0800_250hz_nsubj14_seed005,cnn,CNN-v1,cnn,0800,250,False,14.0,5.0,14.0,14.0,18.0,14,5.0,"(21818, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed005
subject_ablation,cnn_0800_250hz_nsubj18_seed001,cnn,CNN-v1,cnn,0800,250,False,18.0,1.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed001
subject_ablation,cnn_0800_250hz_nsubj18_seed002,cnn,CNN-v1,cnn,0800,250,False,18.0,2.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed002
subject_ablation,cnn_0800_250hz_nsubj18_seed003,cnn,CNN-v1,cnn,0800,250,False,18.0,3.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed003
